title_company;content;thumbnail;adr_title;adr_url;adr_target;about_company;related_companies;tags;boss;payments;services_list;additional_information;seo;gallery;news;contacts_fax;contacts_phone;contacts_comment-to-phone;emails-group_email;emails-group_comment-to-email;connectivity_options_options_list;connectivity_options_comment-to-option;links_link;social_links_social_link;social_links_social_lists
«Глобус» (Страхова Компанія);"Страхова Компанія «Глобус» Vienna Insurance Group – один із провідних фінансових інститутів України з великим досвідом і потужним кадровим потенціалом. Компанія заснована в 1994 році, центральний офіс знаходиться в м. Києві, широко розвинута мережа регіональних агентств і представництв забезпечує громадян високоякісними страховими послугами у всіх регіонах України. За даними рейтингового агентства «Експерт – Рейтинг», рейтинг фінансової відкритості та стійкості СК «Глобус» VIG складає найвищий рівень: «Аа». З 2006 року СК «Глобус» входить до складу міжнародної страхової групи VIENNA INSURANCE GROUP (Австрія, м. Відень), - лідера в Центральній та Східній Європі серед страхових груп. Історія Групи починається з 1824 року, в 23 країнах - більше 50 страхових компаній, 17 млн. клієнтів, 23 тис. кваліфікованих співробітників, обсяг страхових премій, отриманих за 2009 рік склав EURO 8,3 млрд. VIENNA INSURANCE GROUP - лідер на страхових ринках Центральної та Східної Європи. Фінансовий рейтинг Групи підтверджений у 2009 році міжнародним рейтинговим агентством “Standard &amp; Poor`s” і складає: «А+ ».";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5229d3528c37f.png;г. Чернигов, просп. Победы, 119а;https://goo.gl/maps/hBqfuz8w589bTJT79;;"Страхова Компанія «Глобус» Vienna Insurance Group – один із провідних фінансових інститутів України з великим досвідом і потужним кадровим потенціалом. Компанія заснована в 1994 році, центральний офіс знаходиться в м. Києві, широко розвинута мережа регіональних агентств і представництв забезпечує громадян високоякісними страховими послугами у всіх регіонах України. За даними рейтингового агентства «Експерт – Рейтинг», рейтинг фінансової відкритості та стійкості СК «Глобус» VIG складає найвищий рівень: «Аа». З 2006 року СК «Глобус» входить до складу міжнародної страхової групи VIENNA INSURANCE GROUP (Австрія, м. Відень), - лідера в Центральній та Східній Європі серед страхових груп. Історія Групи починається з 1824 року, в 23 країнах - більше 50 страхових компаній, 17 млн. клієнтів, 23 тис. кваліфікованих співробітників, обсяг страхових премій, отриманих за 2009 рік склав EURO 8,3 млрд. VIENNA INSURANCE GROUP - лідер на страхових ринках Центральної та Східної Європи. Фінансовий рейтинг Групи підтверджений у 2009 році міжнародним рейтинговим агентством “Standard &amp; Poor`s” і складає: «А+ ».";;;;;;;;;;;;;;;;;;;
Украинская Пожарно-Страховая Компания (Черниговское областное управление);"? Наша компания – это:
- более 250 филиалов, отделений и точек продаж по всей Украине;
- штат высококвалифицированных сотрудников, более половины, которых имеют стаж работы в страховании 16 и более лет, прошедшие подготовку в лучших украинских учебных заведениях и за рубежом, соавторы книг и учебников по страхованию;
- широкий набор предлагаемых условий, договоров, полисов;
- договора с органами ГАИ, пожарной охраны, медицинскими учреждениями, органами, которые проводят всевозможную экспертизу, что позволяет правильно оценить размер ущерба страхователя;
- стабильные многолетние взаимоотношения с перестраховщиками на Украине и за рубежом, что позволяет иметь 100% - ну гарантию выплат;

?ЧАО «УПСК» предоставляет услуги по страхованию более чем 1 миллиону клиентов, включая 200 тысячам субъектов предпринимательской деятельности.

За время своей работы Компания наладила тесное сотрудничество со многими министерствами и ведомствами Украины, государственными и коммунальными предприятиями и организациями, большим количеством банков, частными и коллективными предприятиями, общественными организациями, медицинскими и учебными заведениями.

? ЧАО «УПСК» глубоко уважает и ценит каждого своего клиента и готова в максимальной степени учитывать его потребности и защищать его интересы.

Мы ждем Вас и всегда Вам рады!";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5229df03af32b.png;г. Чернигов, ул. Гонча (ул. Горького), 30;https://goo.gl/maps/HF8ZfYU2TCVaWgub6;;"? Наша компания – это:
- более 250 филиалов, отделений и точек продаж по всей Украине;
- штат высококвалифицированных сотрудников, более половины, которых имеют стаж работы в страховании 16 и более лет, прошедшие подготовку в лучших украинских учебных заведениях и за рубежом, соавторы книг и учебников по страхованию;
- широкий набор предлагаемых условий, договоров, полисов;
- договора с органами ГАИ, пожарной охраны, медицинскими учреждениями, органами, которые проводят всевозможную экспертизу, что позволяет правильно оценить размер ущерба страхователя;
- стабильные многолетние взаимоотношения с перестраховщиками на Украине и за рубежом, что позволяет иметь 100% - ну гарантию выплат;

?ЧАО «УПСК» предоставляет услуги по страхованию более чем 1 миллиону клиентов, включая 200 тысячам субъектов предпринимательской деятельности.

За время своей работы Компания наладила тесное сотрудничество со многими министерствами и ведомствами Украины, государственными и коммунальными предприятиями и организациями, большим количеством банков, частными и коллективными предприятиями, общественными организациями, медицинскими и учебными заведениями.

? ЧАО «УПСК» глубоко уважает и ценит каждого своего клиента и готова в максимальной степени учитывать его потребности и защищать его интересы.

Мы ждем Вас и всегда Вам рады!";;;;;;;;;;;;;;;;;;;
Оранта (Чернігівське районне відділення Чернігівської обласної дирекції);;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_52a5b2335c490.png;г. Чернигов, ул. Шевченко, 162;https://goo.gl/maps/vvkfE8MFY5cwb1hc6;;;;;;;;;;;;;;;;;;;;;
Центр протипожежного захисту;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Центр протипожежного захисту - приватна організація, яка надає широкий спектр протипожежних послуг. Ми пропонуємо комплексні професійні рішення в оптимальні терміни!</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_52b0248446d3d.png;г. Чернигов, ул. Малиновского, 36;https://goo.gl/maps/fhkRME2iTQtDZLcCA;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Центр протипожежного захисту - приватна організація, яка надає широкий спектр протипожежних послуг. Ми пропонуємо комплексні професійні рішення в оптимальні терміни!</div>
</div>
</div>";;;;;"Роботи та послуги протипожежного призначення:
- Експертиза протипожежного стану
- Навчання та інструктажі з питань пожежної безпеки
- Обслуговування вогнегасників
- Обслуговування кран-комплектів
- Документальне та методичне забезпечення
- Документація підприємства
- План (схема) евакуації на випадок пожежі
- Пожежно-технічні комісії
- Добровільні пожежні дружини
- Постачання протипожежного обладнання
- Пожежно-технічне обладнання та первинні засоби пожежогасіння
- Знаки пожежної безпеки. Таблички категорій та зон. Стенди, плакати, журнали, знаки
Документальне та методичне забезпечення
- Документація підприємства
- План (схема) евакуації на випадок пожежі
- Пожежно-технічні комісії
- Добровільні пожежні дружини
Постачання протипожежного обладнання
- Пожежно-технічне обладнання та первинні засоби пожежогасіння
- Знаки пожежної безпеки. Таблички категорій та зон. Стенди, плакати, журнали, знаки
Всі види страхування
- Страхування об'єктів та майна
- Страхування персоналу
- Страхування цивільної відповідальності
Комплексне обслуговування об'єктів
- Комплексне надання послуг при започаткуванні роботи об'єкта
- Комплексне обслуговування об'єктів в режимі повсякденного функціонування";;;;;;;;;;;;;;
Справка-счет (Родные Пенаты) (Комиссионный автомагазин);"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Фирма занимается оформлением справок-счет на авто, лодки, оценкой для налогообложения, автострахованием, консультациями.</div>
</div>
</div>";;г. Чернигов, просп. Мира, 231 возле авторынка;https://goo.gl/maps/royNK9pYW5xcWerK6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Фирма занимается оформлением справок-счет на авто, лодки, оценкой для налогообложения, автострахованием, консультациями.</div>
</div>
</div>";;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">Предлогаем услуги в переоформлении транспорта (можно без снятия с учета), оценке транспорта для целей налогообложения, автострахования. Бесплатные консультации по вопросам переоформления, оценке и страхованию.</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
Країна (Страховая компания);"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">СК «Краина» на страховом рынке Украины с 1994 года.
Имеет лицензии на осуществление 21-го вида страхования.
Входит в ТОП-20 страховых компаний Украины по размеру страховых платежей.
Является ассоциированным членом Моторного (Транспортного) Страхового Бюро Украины, участником Добровольного объединения страховщиков «Строительный страховой пул» и членом Национального Клуба Страховой Выплаты.</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_55ffbbe002d19.gif;г. Чернигов, ул. Мстиславская, 9, офис 102;https://goo.gl/maps/bsNCZpnw92qLYmWF9;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">СК «Краина» на страховом рынке Украины с 1994 года.
Имеет лицензии на осуществление 21-го вида страхования.
Входит в ТОП-20 страховых компаний Украины по размеру страховых платежей.
Является ассоциированным членом Моторного (Транспортного) Страхового Бюро Украины, участником Добровольного объединения страховщиков «Строительный страховой пул» и членом Национального Клуба Страховой Выплаты.</div>
</div>
</div>";;;;;"Физическим лицам
- АвтоКАСКО
Программа Стандарт
Программа Престиж
Программа «АвтоПРОФИ»
- Имущество
Страхование имущества от огня, стихийных бедствий и прочих опасностей
Экспресс-страхование имущества «Соседям на зависть»
Страхование имущества «Стандарт»
- Личная защита
Страхование жизни и здоровья от несчастных случаев (НС)
Комплексная программа страхования «Защита»
Комплексная программа страхования «Украинский турист»
- Автогражданка
Страхование ОСАГО

Корпоративным клиентам
- Транспорт
Страхование КАСКО
- Имущество предприятий
Страхование имущества от огня, стихийных бедствий и прочих опасностей
Cтрахование строительно-монтажных рисков
Страхование убытков вследствие утраты права собственности на объекты недвижимого имущества
Страхование оборудования от поломок
Страхование риска причинения вреда вследствие перерыва в производственной деятельности
- Персонал
Добровольное медицинское страхование персонала (ДМС)
Страхование от несчастных случаев для коллективов
Страхование здоровья на случай заболевания
Комплексное страхование здоровья
Обязательное личное страхование работников ведомственной и сельской пожарной охраны и членов добровольных пожарных дружин (команд)
Обязательное личное страхование от несчастных случаев на транспорте
Страхование спортсменов от несчастного случая
- Ответственность
Обязательное страхование ответственности субъектов перевозки опасных грузов
Страхование ответственности перед третьими лицами
- Страхование ответственности товаропроизводителей, продавцов и исполнителей перед третьими лицами за качество товаров, работ (услуг)
- Грузы
Страхование грузов и багажа
- Добровольное медицинское страхование
Программа страхования «Семейный полис»
Программа страхования «Полис от аиста»
Программа страхования «С первого шага»
Программа страхования «Детям и подросткам»";;;;;;;;;;;;;;
Eurolife Ukraine (накопительное страхование жизни);;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5850ee597bd80.png;г. Чернигов, просп. Мира, 53, офис 567 5 этаж;https://goo.gl/maps/ynkFRisAUDDHMhoy9;;;;;;;"Компания Евролайф предлагает накопительное страхование жизни, консультации по негосударственному пенсионному обеспечению, пожизненной пенсии, сохранности накоплений, целевые программы для решения отдаленных финансовых задач.
-Каким образом лучше накопить средства для достижения целей и реализации желаний?
-Почему мы должны делать накопления?
-Что даст мне систематическое накопление?
-Когда начать финансовое планирование на старость?
-Каким образом я могу гарантировать свое обеспечение в старости?
-Какой будет финансовая ситуация, если вследствие несчастного случая или болезни я не смогу больше работать?
-Смогу ли я оплатить обучение своих детей?
-Каким образом осуществить инвестиции, чтобы оптимально обеспечить свою семью?
На эти и другие вопросы я, как консультант Евролайф, с удовольствием отвечу в личной беседе, учитывая при этом Ваши пожелания и цели.";;;;;;;;;;;;;;
UNIQA | УНИКА (Черниговское отделение №2) (Страховая компания);"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Страховая компания УНИКА основана 10 февраля 1994 года (до апреля 2010 года - ЗАО «Страховая компания «Кредо-Классик»), с 2006 года входит в состав австрийской группы UNIQА.</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_58a6c5d92da58.gif;г. Чернигов, ул. Пятницкая, 16;https://goo.gl/maps/knYrRBEBVhyMEdZ19;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Страховая компания УНИКА основана 10 февраля 1994 года (до апреля 2010 года - ЗАО «Страховая компания «Кредо-Классик»), с 2006 года входит в состав австрийской группы UNIQА.</div>
</div>
</div>";;;;;"СТРАХОВАНИЕ ЮРИДИЧЕСКИХ ЛИЦ
Страхование жизни
Автострахование
Страхование имущества и ответственности
Страхование в сектора малого и среднего бизнеса
Личное страхование
Страхование путешествующих
Страхование сельскохозяйственных рисков
Страхование грузов
Страхование аэрокосмических рисков
Страхование экологических рисков

СТРАХОВАНИЕ ФИЗИЧЕСКИХ ЛИЦ
Страхование жизни
Автострахование, КАСКО, ОСАГО
Страхование имущества и ответственности
Страхование путешествующих";;;;;;;;;;;;;;
'UNIQA' (Страховая компания);"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Страховая компания УНИКА основана 10 февраля 1994 года (до апреля 2010 года - ЗАО «Страховая компания «Кредо-Классик»), с 2006 года входит в состав австрийской группы UNIQА.</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_58a6c5d92da58.gif;14017, г. Чернигов, ул. Ивана Мазепы (ул. Щорса), 40;https://goo.gl/maps/QsyfckqzkDfYd1Xk6;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Страховая компания УНИКА основана 10 февраля 1994 года (до апреля 2010 года - ЗАО «Страховая компания «Кредо-Классик»), с 2006 года входит в состав австрийской группы UNIQА.</div>
</div>
</div>";;;;;"СТРАХОВАНИЕ ЮРИДИЧЕСКИХ ЛИЦ
Страхование жизни
Автострахование
Страхование имущества и ответственности
Страхование в сектора малого и среднего бизнеса
Личное страхование
Страхование путешествующих
Страхование сельскохозяйственных рисков
Страхование грузов
Страхование аэрокосмических рисков
Страхование экологических рисков

СТРАХОВАНИЕ ФИЗИЧЕСКИХ ЛИЦ
Страхование жизни
Автострахование, КАСКО, ОСАГО
Страхование имущества и ответственности
Страхование путешествующих";;;;;;;;;;;;;;
"ООО ""Альянс ПК Лтд""";"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Компания создана одними из самых опытных и высококлассных таможенных брокеров г. Чернигов.</div>
</div>
</div>
<div class=""text block""></div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5d5c318194530.jpg;г. Чернигов, просп. Победы, 62, офис 104;https://goo.gl/maps/knYrRBEBVhyMEdZ19;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Компания создана одними из самых опытных и высококлассных таможенных брокеров г. Чернигов.</div>
</div>
</div>
<div class=""text block""></div>";;;;;"г. Чернигов
Осуществляем предоставление услуг таможенных брокеров:все виды оформлений грузов в таможенных органах;
- таможенное оформление в оптимальные сроки в таможенных режимах импорта, экспорта, транзита, временного ввоза/вывоза и прочие;
- аккредитацию на таможне;
- разъяснение правовых особенностей применения различных таможенных режимов;
- полное сопровождение внешнеэкономических операций:
поможем составить контракт и сопроводительные документы (инвойс, упаковочный лист, CMR, Книжка МДП и др.) в соответствии с требованиями действующего законодательства;
- подбор кодов, полная консультация по выбранному коду согласно тарифного и нетарифного регулирования;
- консультации относительно порядка начисления и уплаты таможенных платежей.


Опыт работы сотрудников компании - более 20 лет.

Являемся плательщиками НДС.";;;;;;;;;;;;;;
USI (страховая компания);;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5da84e44c2eec.png;г. Чернигов, просп. Победы, 95, офис 202;https://goo.gl/maps/46hSRh7DhPahty5z6;;;;;;;"<div id=""buAbout"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">По просьбе владельца информация о компании скрыта.</div>
</div>
</div>
</div>";;;;;;;;;;;;;;
Страховая компания ГРАНДВИС (Страховая компания);"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Наш опыт работы на страховом рынке Чернигова и области составляет больше 24 лет.
ПрАТ „ГРАНДВИС” зарегистрировано в 1995 году как самостоятельное юридическое лицо.
ПрАТ „ГРАНДВИС” является Акционером ряда автотранспортных и других предприятий. Компания получила в 2004 – 2005 гг. Диплом лауреата регионального конкурса “Черниговское качество – 2004”, “Черниговское качество – 2005” в рамках Всеукраинского конкурса качества продукции (товаров, работ, услуг) “100 лучших товаров Украины”.</div>
</div>
</div>";https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5f33b98b4b567.png;14013, г. Чернигов, просп. Победы, 127 2й этаж;https://goo.gl/maps/8eiBAYbva62HNUGs9;;"<div class=""buDescription text block"">
<div class=""items"">
<div class=""item"">Наш опыт работы на страховом рынке Чернигова и области составляет больше 24 лет.
ПрАТ „ГРАНДВИС” зарегистрировано в 1995 году как самостоятельное юридическое лицо.
ПрАТ „ГРАНДВИС” является Акционером ряда автотранспортных и других предприятий. Компания получила в 2004 – 2005 гг. Диплом лауреата регионального конкурса “Черниговское качество – 2004”, “Черниговское качество – 2005” в рамках Всеукраинского конкурса качества продукции (товаров, работ, услуг) “100 лучших товаров Украины”.</div>
</div>
</div>";;;;;"ПрАТ „ГРАНДВИС” проводит страхование за такими направлениями :
- страхование здоровья на случай болезни ;
- медицинское страхование (непрерывное страхование здоровья) ;
- страхование грузов и багажа ;
- страхование от огневых рисков и рисков стихийных явлений ;
- страхование кредитов ;
- страхование финансовых рисков ;
- страхование имущества и другое.";;;;;;;;;;;;;;
Косметолог-клинический;;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5f78d74f9e9d1.jpg;14001, г. Чернигов, ул. Гонча, 49 2й этаж;https://goo.gl/maps/p7wYaB2WFv6xPtkf8;_blank;;;;;;"Косметические услуги для лица и проблемных участков кожи.
На все услуги - 50% скидка.

Процедуры на основе натуральных природных компонентах - Green Pharm Cosmetics и оборудованием от Beauty Servise Ukraine.

1) Ультразвуковая чистка + мануальная (дополнительно) Стоимость 800 грн - 50%= 400 грн./120 мин.
Результат - убирает черные точки, комедоны, жировики, безболезненная на современном оборудовании, на основе Green Pharm Cosmetic, Состоит из 11 этапом глубокой очистки: мицеллярная вода, очищающее молочко, гель для умывания, пилинг, гель дезокрустант, тоник, сыворотка, альгинатная маска, эпитализант, сыворотка против морщин, SPF-25/SPF-50.

2) Карбокси терапия для лица и зоны декольте, тем кому 30+ (Carboxy Therapy CO2 Intensiv) Стоимость процедуры 800 грн. - 50% = 400 грн/сеанс.
Результат - разглаживает морщины, уменьшает фотостарение, лифтинг, выводит токсины, подтягивает, детокс, улучшает процесс коллагена и эластина, повысшает упругость, устраняет акне, пост акне, пигментация, купероз. Состоит из 6 этапов: пенка глубокого очищения, гель ексфолиатор, гель активатор, успокаивающий гель, мезиосыворотка против морщин, SPF25/SPF50.

3) Безиньекцтонная мезиотерапия 30+ (SkinTER Ultra K1 O2) для лица и зоны декольте. Стоимость процедуры 500 грн/сеанс.
Альтернативный метод мезиотерапии - устраняет морщины, подтягивает овал лица, выравнивает рельеф кожи, улучшает микроциркуляцию, стимулирует обновления клеток, выробатывает коллаген и эластин, осветляет пигментацию, детокс, лифтинг, снятия ороговевшего слоя, открытие кожи для активных веществ, сужение пор и нормализация кожных желез.
Процедура состоит: гель глубокого очищения, гель AHA Multi Stimulant кислотный стимулятор, гель AHA Deactivator деактиватор, гель Oxygenator оксигенатор, гель колагеновий Collagen Regenerant регенерант, SPF-25/SPF-50.

4) Микро токи для лица (декольте) и тела на современном оборудовании Beauty Servise 2020 года.Стоимость сеанса 200 грн./40 мин. 250 грн/60 мин.
- Мимические и возрастные морщины, хроностарение;
- Дряблость кожи и мышц;
- Отеки лица, лимфостаз, послеоперационная кожа;
- дегидратированная кожа;
- себорея;
- рубцы, растяжки, постакне
- целлюлит;
- пигментация, гиперпигментация, фотостарение;
- розацея, купероз, жирная, пористая, проблемная кожа,
-акне
-лечение алопеция

5) RF-лифтинг для лица и зоны декольте -150 грн/30 мин. - 250 грн/60 мин.
Результат омоложение, лифтинг, детокс, разглаживание морщин, обновление клеток.

6) Ручной, лимфодренажный, Жаке, вакуумный - 150 грн/30 мин. - 250 грн/60мин. Результат разглаживание морщин, лифтинг, детокс, питание клеток.

Кабинет в центре города ул. Гонча 49 на 2-м этаже, уютная атмосфера, кондиционер, профессиональный массажный стол с подогревом, музыка, теплый душ. Предварительные записи Viber 063-518-05-82

Мое образование по реабилитации, косметологии, тейпированию, обучался у 12 наставников! Опыт работы более 6 лет!";;;;;;;;;;;;;;
"Фитнес-клуб ""GOLDEN-SPORT""";;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_572989be380b9.jpg;14005, г. Чернигов, ул. Гоголя, 3 вход с обратной стороны дома;https://goo.gl/maps/1ughuFiTNkuBkPQt7;_blank;;;;;;"<div class=""phoneWrapper"">
<div class=""text block"">
<div class=""items"">
<div class=""item"">

Фитнес -клуб ""GOLDEN-SPORT""- это ваше движение от цели к результату.

Цель- изменить свою жизнь, стать здоровым красивым, успешным, любимым – это уже начало пути.

Результат обязателен. Обязателен, если двигаться верно, если знать - «куда?», а главное - «как?

Приглашаем Вас в фитнес-клуб на ГОСТЕВОЙ визит, во время которого Вы получите исчерпывающую информацию об услугах, видах клубных карт, эксклюзивных «изюминках» клуба и ознакомитесь с:

- тренажерным залом силовых и кардио - тренажеров;
-залом для занятий аэробикой и танцами;
- детским фитнес-клубом;
-:фитнес-кафе.
-кабинетом массажа и СПА-процедур;
-кабинетом Красоты (маникюр, педикюр, депиляция, наращивание ногтей);
-профессиональным консультантом -диетологом.

Записаться на бесплатный визит для осмотра клуба или задать все интересующие вопросы можно по телефону указанному на страничке.

</div>
</div>
</div>
<div class=""text block"">
<div class=""title"">Дополнительная информация:</div>
<div class=""items"">
<div class=""item"">

Фитнес–клуб предлагает большой выбор клубных карт и удобную систему посещения.

На сегодняшний день фитнес–клуб предлагает месячные, квартальные, полугодовые клубные карты.

Фитнес-клуб предлагает специальные условия для компаний от 5 человек!

В завершении хотелось бы пригласить посетить наш фитнес-клуб ведь многое лучше увидеть своими глазами.

Двери ""GOLDEN-SPORT"" всегда открыты для вас.

</div>
</div>
</div>
</div>
<div class=""errorClick"" data-phoneid=""77044""></div>";;;;;;;;;;;;;;
ШКОЛА МАССАЖНОГО МАСТЕРСТВА ВЯЧЕСЛАВА ТИТАРЕНКО;;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5994687715201.jpg;г. Чернигов, ул. Мартына Небабы, 106, офис 7, 8, 9;https://goo.gl/maps/kWivULgBKAvvE83V8;_blank;;;;;;"УСЛУГИ И ОБУЧЕНИЕ ОТ ПРОФЕССИОНАЛОВ
Обучение по направлениям:
- Классический массаж
- Коррекция и моделирование фигуры
- Реабилитация
- Массаж лица и основы косметологии
- SPA-RELAX направление
- Мастер-классы

Улуги:
Лечебно-оздоровительные:
- Консультация реабилитолога
- Реабилитация после инсультов, травм, ДТП
- Массаж лечебно-оздоровительный
- Массаж при грыжах остеохондрозе
- Лимфодренажный массаж
- Прессотерапия
Коррекция фигуры:
- Липомоделирующий
- Антицеллюлитный
- Вакуумнороликовый
- Медовый
- Карбокситерапия
- Обертывания
- Подбор индивидуальной программы тренировок
- Консультация диетолога
Депиляция:
-Восковая депиляция
- Шугаринг
SPA-RELAX процедуры:
- Аромамассаж
- Шоколадный массаж-релакс
- Виноградный массаж-релакс
- Пенный массаж-релакс
- Пилинг массаж-релакс
Косметология лица:
- УЗ чистка
- Пилинги
- Уходовые анти-ейдж процедуры, анти-акне
- Карбокситерапия
- Гидрокситерапия
- Безинъекционная мезотерапия
- Классический массаж лица
- Пластический массаж лица
- Миоструктурный массаж лица
- Лимфодренажный массаж лица

Продажа профессиональной косметики:
""GREEN PHARM COSMETIC""
""SPANI""
""MASSENA""
Продажа профессионального оборудования
Продажа одноразовой продукции";;;;;;;;;;;;;;
Мастерская здоровья и красоты;;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_566177e003fcc.jpg;г. Чернигов, просп. Победы, 95, офис 203;https://goo.gl/maps/6hoRaMy6iUszoT4j8;_blank;;;;;;"Компьютерная диагностика организма.
Оздоровительная продукция.
Средство по уходу за кожей.
Здоровое питание.
Все виды массажа (уникальная методика с использованием прибора DDS).
Органические моющие средства.";;;;;;;;;;;;;;
Салон красоты «Гармонія»;;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5bfec8856022a.jpeg;14005, г. Чернигов, ул. Рокоссовского, 49;https://goo.gl/maps/6Yx6xeyAiMBuFenWA;_blank;;;;;;"Хочется уделить особое внимание процедуре:
Парафинотерапия для рук, которая
хорошо увлажняет кожу рук, восстанавливает водный баланс, выводит токсины, восстанавливает и заживляет ткани, тонизирует, улучшает кровообращение.

Самые приемлемые цены и наилучшее качество услуг по г. Чернигову!";;;;;;;;;;;;;;
5 елемент;;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_598615f0d4661.jpg;г. Чернигов, просп. Победы, 47 Район Деснянской правды;https://goo.gl/maps/aJtKMT9ZENiCgQCGA;_blank;;;;;;Парикмахерские услуги: стрижка, укладка, прическа, покраска волос. Массаж, спа программы, антицелюлитные программы. косметология: чистка лица, омолаживающие процедуры, прокалывание ушей, депиляция восковая, депиляция шугаринг, массаж лица, микротоковая терапия, микродермабразия. Маникюр, педикюр, покрытие гель-лак, покрытие венилюкс, парафинотерапия, спа-маникюр, спа-педикюр, наращивание ногтей. Визаж, коррекция бровей, покраска бровей, покраска ресниц, био татуаж.;;;;;;;;;;;;;;
"Фитнес клуб ""Кислород""";;https://24city.cn.ua/wp-content/uploads/2020/12/th_file_5a987323349ac.png;г. Чернигов, просп. Мира, 32, офис 4 этаж;https://goo.gl/maps/RvSAjAEKq3VoMdc19;_blank;;;;;;"Фитнес-клуб «Кислород» — это спортивно-оздоровительный комплекс, которой включает в себя:

Огромный тренажерный зал, с самой совершенной системой вентиляции и кондиционирования, оборудованный тренажерами профессиональной серии всех направлений, для всех групп мышц, кардиотренажерами;
Кардиозона оборудована современными кардио тренажеры которые обеспечивают комфортные и безопасные занятия при любом уровне подготовки;
Аэробное направление предлагает танцевальные классы, силовую аэробику, фитнес-йогу, боди-бары, степ-программы и индивидуальные аэробные программы, включая аэробику для мужчин.
Самая современная зона-SPA включает в себя студию релакса, инфракрасную сауну, не имеющую никаких противопоказаний, большой комплект аппаратов для проведения процедур по коррекции фигуры – лимфопресс, ультразвуковой, вакуумный, вакуумно-роликовый массаж, миостимуляция, магнитотерапия; процедуры горячего, холодного, медового, шоколадного обертывания, все виды традиционного массажа, вертикальный турбо солярий нового поколения. Вся аппаратура сертифицирована. Салонная косметика профессиональной серии не имеет гормональных добавок;
к Вашим услугам салон красоты, который предлагает услуги парикмахеров стилистов, мастеров маникюра, педикюра и косметолога.

«Кислород» характеризует довольно демократичная ценовая политика. Действует система скидок для семейных и корпоративных клиентов. Клубная карта дает возможность получения скидок на все виды услуг.";;;;;;;;;;;;;;
